,actor_account_id,churn_yn,survival_time,event_num,enterworld_num,levelup_num,joinparty_num,spendmoney_num,duel_num,duel_kd,partybattle_num,completechallengetoday_num,completechallengeweek_num,itemupgrade_successrate,trade_num,buyitemnowmainauction_num,guildlevelup_num,level_min,level_max,class,longest_time_between_events,faction1,faction2,targetaccountid_num,sessions_num,has_smurf_yn
0,0021D8AA,,,126636.00,181.00,2.00,193.00,997.00,28.00,2.50,15.00,8.00,0.00,0.00,23.00,38.00,0.00,41.00,50.00,6.00,239539.84,1.00,0.00,88.00,155.00,1.00
1,002CC4EC,0.00,126,39385.00,193.00,5.00,176.00,1358.00,34.00,0.79,37.00,12.00,0.00,0.00,19.00,19.00,0.00,15.00,50.00,3.00,253529.85,2.00,0.00,170.00,167.00,1.00
2,003B1E06,0.00,232,37423.00,176.00,19.00,148.00,907.00,10.00,2.33,0.00,12.00,0.00,0.00,18.00,50.00,0.00,1.00,50.00,9.00,436143.07,1.00,0.00,30.00,152.00,1.00
3,003D42CD,0.00,34,33900.00,102.00,74.00,104.00,540.00,5.00,0.67,4.00,2.00,0.00,0.00,19.00,9.00,0.00,1.00,50.00,3.00,458000.84,1.00,0.00,33.00,87.00,1.00
4,006093EB,0.00,87,49063.00,237.00,0.00,273.00,470.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,5.00,0.00,50.00,50.00,3.00,161775.37,2.00,0.00,123.00,187.00,0.00
5,0067CFF2,1.00,18,4608.00,28.00,0.00,12.00,190.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00,0.00,39.00,50.00,2.00,1280471.93,2.00,0.00,5.00,28.00,1.00
6,00731F6C,0.00,51,4881.00,21.00,0.00,12.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,1.00,338804.40,2.00,0.00,8.00,17.00,0.00
7,007C7AEA,0.00,63,27108.00,102.00,1.00,86.00,728.00,0.00,0.00,0.00,3.00,0.00,44.00,16.00,20.00,0.00,1.00,50.00,9.00,174325.72,2.00,0.00,24.00,95.00,1.00
8,007DA514,1.00,15,1352.00,25.00,1.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,50.00,5.00,164696.34,2.00,0.00,2.00,26.00,1.00
9,008285F2,0.00,273+,35585.00,231.00,0.00,246.00,779.00,0.00,0.00,12.00,36.00,0.00,0.00,13.00,49.00,0.00,20.00,50.00,3.00,99785.50,2.00,0.00,98.00,190.00,1.00
10,00834BCF,0.00,66,28345.00,451.00,8.00,174.00,825.00,97.00,1.26,43.00,16.00,0.00,7.70,10.00,79.00,0.00,1.00,50.00,6.00,377957.71,2.00,0.00,201.00,379.00,1.00
11,0086503D,0.00,30,49528.00,233.00,122.00,130.00,1540.00,3.00,0.50,0.00,6.00,0.00,0.00,4.00,91.00,0.00,1.00,50.00,7.00,564941.49,2.00,0.00,73.00,174.00,1.00
12,008999EA,0.00,273+,71629.00,650.00,30.00,235.00,1984.00,75.00,1.34,71.00,24.00,0.00,0.00,0.00,153.00,0.00,33.00,50.00,6.00,267513.57,2.00,0.00,210.00,565.00,1.00
13,008B8315,0.00,276+,44016.00,457.00,0.00,179.00,1606.00,205.00,1.47,24.00,12.00,0.00,5.67,14.00,257.00,0.00,1.00,50.00,2.00,1395431.97,2.00,0.00,297.00,366.00,1.00
14,008E8AF0,0.00,27,378.00,2.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,45.00,5.00,201572.68,2.00,0.00,2.00,3.00,0.00
15,00C172F0,0.00,65,5674.00,26.00,2.00,14.00,199.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,14.00,0.00,33.00,50.00,9.00,621758.21,2.00,0.00,10.00,22.00,1.00
16,00CBE7F7,1.00,21,115754.00,738.00,0.00,546.00,1427.00,0.00,0.00,84.00,31.00,0.00,3.56,42.00,118.00,0.00,50.00,50.00,5.00,141302.80,1.00,0.00,190.00,608.00,0.00
17,00CE46EF,1.00,21,40037.00,148.00,9.00,78.00,1272.00,16.00,0.60,2.00,6.00,0.00,0.00,1.00,68.00,0.00,31.00,50.00,6.00,695258.12,2.00,0.00,42.00,125.00,1.00
18,00D81497,0.00,115,25.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,7.00,347.85,1.00,0.00,1.00,3.00,1.00
19,00D81DCB,0.00,273+,54253.00,403.00,19.00,239.00,1014.00,0.00,0.00,17.00,5.00,0.00,17.17,9.00,52.00,0.00,42.00,50.00,1.00,164955.78,2.00,0.00,240.00,357.00,1.00
20,00DDAEEA,0.00,273+,43657.00,529.00,7.00,264.00,1075.00,105.00,0.84,82.00,44.00,0.00,0.00,0.00,11.00,0.00,50.00,50.00,1.00,206927.73,1.00,0.00,210.00,427.00,1.00
