,actor_account_id,churn_yn,survival_time,event_num,enterworld_num,levelup_num,joinparty_num,spendmoney_num,duel_num,duel_kd,partybattle_num,completechallengetoday_num,completechallengeweek_num,itemupgrade_successrate,trade_num,buyitemnowmainauction_num,guildlevelup_num,level_min,level_max,class,longest_time_between_events,faction1,faction2,targetaccountid_num,sessions_num,masteryexp,duelpoints_max,partybattlepoints_max,duel_rating_score_max,money_max,gathering_num,has_smurf_yn,average_money_spent_per_session,duels_per_session,partybattles_per_session,average_time_between_events,average_time_between_logins,reason_getmoney,reason_spendmoney
0,0021D8AA,,,126636.00,181.00,2.00,193.00,997.00,28.00,2.50,15.00,8.00,0.00,0.00,23.00,38.00,0.00,41.00,50.00,6.00,239539.84,1.00,0.00,88.00,155.00,193556329.00,6445.00,2396.00,159257.00,737428835.00,20.00,1.00,9747430.21,0.15,0.08,27.19,18674.67,101.00,522.00
1,002CC4EC,0.00,126,39385.00,193.00,5.00,176.00,1358.00,34.00,0.79,37.00,12.00,0.00,0.00,19.00,19.00,0.00,15.00,50.00,3.00,253529.85,2.00,0.00,170.00,167.00,27624894.00,21594.00,5420.00,144190.00,37427281.00,97.00,1.00,804582.92,0.18,0.19,83.21,16967.16,101.00,510.00
2,003B1E06,0.00,232,37423.00,176.00,19.00,148.00,907.00,10.00,2.33,0.00,12.00,0.00,0.00,18.00,50.00,0.00,1.00,50.00,9.00,436143.07,1.00,0.00,30.00,152.00,30318969.00,1052.00,0.00,146146.00,17331367.00,6.00,1.00,396840.67,0.06,0.00,84.66,17974.76,101.00,510.00
3,003D42CD,0.00,34,33900.00,102.00,74.00,104.00,540.00,5.00,0.67,4.00,2.00,0.00,0.00,19.00,9.00,0.00,1.00,50.00,3.00,458000.84,1.00,0.00,33.00,87.00,16523152.00,275.00,625.00,139399.00,26435808.00,0.00,1.00,777688.27,0.05,0.04,93.17,30701.98,101.00,506.00
4,006093EB,0.00,87,49063.00,237.00,0.00,273.00,470.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,5.00,0.00,50.00,50.00,3.00,161775.37,2.00,0.00,123.00,187.00,47490847.00,0.00,0.00,0.00,79768951.00,0.00,0.00,68655.01,0.00,0.00,69.00,14263.94,101.00,560.00
5,0067CFF2,1.00,18,4608.00,28.00,0.00,12.00,190.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00,0.00,39.00,50.00,2.00,1280471.93,2.00,0.00,5.00,28.00,12831466.00,0.00,0.00,0.00,7828748.00,7.00,1.00,56009.32,0.00,0.00,750.82,123422.01,101.00,567.00
6,00731F6C,0.00,51,4881.00,21.00,0.00,12.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,1.00,338804.40,2.00,0.00,8.00,17.00,28673250.00,0.00,0.00,0.00,29312048.00,0.00,0.00,4535.57,0.00,0.00,161.79,37579.83,101.00,553.00
7,007C7AEA,0.00,63,27108.00,102.00,1.00,86.00,728.00,0.00,0.00,0.00,3.00,0.00,44.00,16.00,20.00,0.00,1.00,50.00,9.00,174325.72,2.00,0.00,24.00,95.00,70542719.00,0.00,0.00,0.00,100955063.00,0.00,1.00,4976206.21,0.00,0.00,119.66,31593.80,101.00,557.00
8,007DA514,1.00,15,1352.00,25.00,1.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,50.00,5.00,164696.34,2.00,0.00,2.00,26.00,14136741.00,0.00,0.00,0.00,4937553.00,0.00,1.00,201.52,0.00,0.00,1339.54,72306.80,101.00,506.00
9,008285F2,0.00,273+,35585.00,231.00,0.00,246.00,779.00,0.00,0.00,12.00,36.00,0.00,0.00,13.00,49.00,0.00,20.00,50.00,3.00,99785.50,2.00,0.00,98.00,190.00,83900441.00,0.00,1372.00,0.00,311197292.00,62.00,1.00,1570395.53,0.00,0.05,94.89,14617.21,101.00,571.00
10,00834BCF,0.00,66,28345.00,451.00,8.00,174.00,825.00,97.00,1.26,43.00,16.00,0.00,7.70,10.00,79.00,0.00,1.00,50.00,6.00,377957.71,2.00,0.00,201.00,379.00,60924087.00,7748.00,1380.00,157996.00,79271134.00,0.00,1.00,534952.11,0.22,0.10,118.59,7452.66,101.00,560.00
11,0086503D,0.00,30,49528.00,233.00,122.00,130.00,1540.00,3.00,0.50,0.00,6.00,0.00,0.00,4.00,91.00,0.00,1.00,50.00,7.00,564941.49,2.00,0.00,73.00,174.00,10389769.00,173.00,0.00,136399.00,23903133.00,44.00,1.00,616443.88,0.01,0.00,49.05,10413.63,101.00,506.00
12,008999EA,0.00,273+,71629.00,650.00,30.00,235.00,1984.00,75.00,1.34,71.00,24.00,0.00,0.00,0.00,153.00,0.00,33.00,50.00,6.00,267513.57,2.00,0.00,210.00,565.00,41663441.00,21975.00,3964.00,152378.00,67602020.00,0.00,1.00,474748.59,0.12,0.11,42.71,4701.29,101.00,522.00
13,008B8315,0.00,276+,44016.00,457.00,0.00,179.00,1606.00,205.00,1.47,24.00,12.00,0.00,5.67,14.00,257.00,0.00,1.00,50.00,2.00,1395431.97,2.00,0.00,297.00,366.00,141466931.00,12377.00,1027.00,163045.00,1442660558.00,0.00,1.00,9527070.32,0.45,0.05,72.74,6872.80,101.00,510.00
14,008E8AF0,0.00,27,378.00,2.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,45.00,5.00,201572.68,2.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,56386.00,0.00,0.00,205.00,0.00,0.00,537.48,101571.20,101.00,510.00
